word,wordNum,freq,doc,freedomL,freedomR,type,newWordDate
555,3,48,9.3,2.226,2.426,tes,tcsv.cs,55,72,8.1,2.044,2.203
冲冲冲,3,45,9.1,2.602,2.368,tes,tcsv.cs
嘤嘤嘤,3,44,11.0,2.327,2.329,tes,tcsv.cs
保护壳,3,43,12.1,4.636,4.594,tes,tcsv.cs
QAQ,3,39,11.3,2.413,4.336,tes,tcsv.cs
rua,3,32,8.7,4.039,3.703,tes,tcsv.cs
播放量,3,30,12.2,3.108,3.689,tes,tcsv.cs,播放,46,11.7,3.179,2.177
RUA,3,22,11.1,3.352,3.005,tes,tcsv.cs
第一次,3,22,8.9,3.477,3.482,tes,tcsv.cs
up主,3,22,9.7,3.936,3.880,tes,tcsv.cs,up,61,8.5,4.301,3.174
小时候,3,17,9.1,3.455,3.220,tes,tcsv.cs,时候,83,10.8,2.132,4.446
蟹老板,3,16,11.4,2.375,2.647,tes,tcsv.cs
越来越,3,14,12.2,2.700,2.064,tes,tcsv.cs
眼睛里,3,14,8.8,3.522,2.261,tes,tcsv.cs,眼睛,44,11.2,4.198,2.260
能天使,3,12,9.9,3.085,2.055,tes,tcsv.cs
处刑曲,3,12,12.8,2.355,3.252,tes,tcsv.cs
skr,3,11,9.3,2.369,2.404,tes,tcsv.cs
233,3,10,9.3,2.922,3.322,tes,tcsv.cs
千万助攻,4,285,8.5,4.033,4.814,tes,tcsv.cs
某音已盗,4,121,10.4,4.775,5.037,tes,tcsv.cs
每日一刷,4,65,9.0,4.015,4.597,tes,tcsv.cs
火钳刘明,4,64,10.9,4.457,4.454,tes,tcsv.cs
JOJO,4,36,10.7,2.941,3.927,tes,tcsv.cs,JO,72,10.6,2.498,2.991
jojo,4,27,8.1,3.302,4.032,tes,tcsv.cs
忘乎所以,4,23,10.6,3.414,3.495,tes,tcsv.cs,所以,62,9.3,3.346,4.302
前方高能,4,21,10.4,3.618,3.368,tes,tcsv.cs
600W,4,19,8.0,3.432,2.774,tes,tcsv.cs
字幕颜色,4,18,10.6,3.350,2.642,tes,tcsv.cs,字幕,46,8.6,4.222,3.319
求BGM,4,11,10.0,3.278,2.482,tes,tcsv.cs,BGM,109,10.3,4.714,3.087
某音以盗,4,11,10.2,2.595,3.278,tes,tcsv.cs
上海zoo,5,17,8.1,3.572,2.016,tes,tcsv.cs
最好的朋友,5,11,9.5,3.096,3.096,tes,tcsv.cs,朋友,190,10.1,3.107,4.469
555555,6,12,9.1,2.126,2.292,tes,tcsv.cs,55,72,8.1,2.044,2.203,555,48,9.3,2.226,2.426
NOTHING,7,44,9.6,2.783,3.525,tes,tcsv.cs
请收下我的膝盖,7,12,12.8,3.022,3.418,tes,tcsv.cs
被生活磨平了棱角,8,38,10.2,3.966,4.376,tes,tcsv.cs
某音已盗某音已盗,8,17,10.3,2.205,2.558,tes,tcsv.cs,某音已盗,121,10.4,4.775,5.037
还有作为方块的棱角,9,18,9.9,3.414,3.128,tes,tcsv.cs
