dm_sendTime,dm_time,dm_userId,dm_color,dm_mode,dm_fontSize,dm_text
2019-07-27 23:50:14,0:00:12.481000,89d26f83,"(255, 255, 255)",1,25,，
2019-07-27 23:50:12,0:00:12,d2eb6d08,"(255, 255, 255)",1,25,泪目
2019-07-27 23:50:10,0:02:05.138000,432f683c,"(231, 0, 18)",1,25,泪目
2019-07-27 23:50:07,0:03:18.697000,76777510,"(255, 255, 255)",1,25,好暖
2019-07-27 23:50:06,0:01:53.731000,c13c137c,"(255, 255, 255)",1,25,哭了
2019-07-27 23:49:57,0:02:00.501000,749293bc,"(255, 255, 255)",1,25,泪目
2019-07-27 23:49:37,0:00:59.152000,5b30220d,"(255, 255, 255)",1,25,来辣
2019-07-27 23:49:34,0:00:11.341000,60947106,"(255, 255, 255)",1,25,再来亿次
2019-07-27 23:49:22,0:01:28.616000,432f683c,"(231, 0, 18)",1,25,填词鬼才！
2019-07-27 23:49:19,0:00:21.481000,e20bc7b1,"(255, 255, 0)",1,25,真正的神作是不分题材的
2019-07-27 23:49:13,0:01:44.589000,d1eba500,"(255, 255, 255)",1,25,无敌啊
2019-07-27 23:48:56,0:03:31.218000,b35121c3,"(255, 255, 255)",1,25,最怕认真的鬼畜
2019-07-27 23:48:39,0:03:26.376000,f804b73d,"(255, 255, 255)",1,25,淚目
2019-07-27 23:48:30,0:00:49.362000,432f683c,"(231, 0, 18)",1,25,天才生来孤独
2019-07-27 23:48:22,0:02:28.101000,a58ed6db,"(255, 255, 255)",1,25,坚持做自己喜欢的事
2019-07-27 23:48:20,0:01:20.525000,fa4f9f05,"(255, 255, 255)",1,25,前面的兄弟  能不能不要挡住我看歌词
2019-07-27 23:48:17,0:00:10.628000,baece3fd,"(255, 255, 255)",1,25,flower dance
2019-07-27 23:48:08,0:01:27.977000,a97eb4d0,"(255, 255, 255)",1,25,好强
2019-07-27 23:48:07,0:00:38.773000,d1eba500,"(255, 255, 255)",1,25,要反超啊
2019-07-27 23:48:01,0:01:09.201000,123182cb,"(255, 255, 255)",1,25,很棒
2019-07-27 23:47:48,0:00:17.789000,432f683c,"(231, 0, 18)",1,25,收下膝盖！
2019-07-27 23:47:43,0:01:12.820000,437c3238,"(255, 255, 255)",1,25,明白人
2019-07-27 23:47:34,0:00:27.675000,b6135a9f,"(226, 2, 127)",1,25,心里很难受
2019-07-27 23:47:28,0:00:20.242000,55f99b31,"(255, 255, 255)",1,25,花之舞
2019-07-27 23:47:16,0:02:05.600000,f6999b5e,"(255, 255, 255)",1,25,友谊，回忆杀
2019-07-27 23:47:13,0:00:21.458000,5d4be482,"(0, 160, 234)",1,25,泪目
2019-07-27 23:47:00,0:03:00.846000,3f665e7f,"(255, 255, 255)",1,25,是不是我没把你照顾好
2019-07-27 23:47:00,0:00:18.130000,5d4be482,"(226, 2, 127)",5,25,镇站之宝
2019-07-27 23:46:39,0:00:26.693000,437c3238,"(255, 255, 255)",1,25,泪目
2019-07-27 23:46:01,0:01:12.954000,aa6aa051,"(255, 255, 255)",5,25,从此改变了我的全部生活
2019-07-27 23:45:58,0:02:59.220000,2213519e,"(255, 255, 255)",5,25,章鱼哥的仇 就由我来报
